"","B365H","B365D","B365A"
"765",1.3,5.5,10
"766",1.17,7,17
"767",1.73,3.75,4.5
"768",1.22,6,15
"769",1.91,3.4,4.2
"770",1.91,3.6,4
"771",1.3,5.5,10
"772",1.17,7,17
"773",1.13,8.5,21
"774",1.91,3.6,4
"775",1.22,6.5,12
"776",1.25,5.5,13
"777",2.1,3.5,3.4
"778",1.13,9,19
"779",1.17,7,17
"780",2,3.4,3.8
"781",1.25,5.5,13
"782",1.4,4.5,8.5
"783",1.22,6,15
"784",1.14,7.5,21
"785",1.13,8,26
"786",1.14,8,17
"787",1.33,5,10
"788",1.85,3.6,4.33
"789",1.29,5.5,11
"790",1.22,6,15
"791",1.17,7.5,15
"792",1.22,6.5,13
"793",1.3,5,11
"794",1.17,7,17
"795",3,3.3,2.4
"796",1.57,3.8,6.5
"797",2.25,3.25,3.3
"798",3.5,3.4,2.1
"799",1.8,3.6,4.5
"800",2,3.5,3.75
"801",5,3.6,1.73
"802",1.73,3.6,5
"803",2,3.4,3.8
"804",1.57,4,6
"805",2.1,3.4,3.5
"806",1.8,3.6,4.5
"807",2.88,3.4,2.4
"808",1.53,4.2,6
"809",1.67,3.75,5.5
"810",5,4,1.67
"811",2.2,3.3,3.4
"812",1.91,3.6,4
"813",5.5,3.6,1.67
"814",2.1,3.4,3.5
"815",2.4,3.4,2.88
"816",4.5,3.6,1.8
"817",2.6,3.25,2.75
"818",5.5,4,1.62
"819",2,3.5,3.75
"820",6.5,4,1.53
"821",1.83,3.6,4.33
"822",1.73,3.75,4.75
"823",3,3.3,2.4
"824",6,4.2,1.53
"825",3.8,3.4,2
"826",2.2,3.4,3.25
"827",1.83,3.5,4.5
"828",9.5,5,1.33
"829",10,5,1.33
"830",2.25,3.3,3.25
"831",7.5,4.33,1.44
"832",2.5,3.3,2.88
"833",2.1,3.4,3.5
"834",2,3.4,3.8
"835",1.91,3.6,4
"836",2.63,3.25,2.75
"837",3.1,3.25,2.38
"838",5,3.6,1.73
"839",5.5,4.2,1.57
"840",2.1,3.4,3.5
"841",4,3.6,1.91
"842",1.83,3.75,4.2
"843",2.2,3.2,3.5
"844",2.1,3.2,3.8
"845",1.83,3.5,4.5
"846",1.83,3.5,4.5
"847",3.75,3.5,2
"848",1.91,3.4,4.2
"849",1.67,3.6,5.5
"850",1.91,3.4,4.2
"851",2.25,3.25,3.3
"852",2.1,3.4,3.5
"853",1.83,3.5,4.5
"854",6,3.75,1.62
"855",1.57,4,6
"856",4.33,3.6,1.83
"857",2.75,3.25,2.6
"858",2.38,3.5,2.88
"859",2.25,3.4,3.2
"860",2.1,3.3,3.6
"861",2.3,3.25,3.2
"862",1.67,3.6,5.5
"863",1.83,3.5,4.5
"864",2.4,3.25,3
"865",6.5,4,1.53
"866",1.91,3.4,4.2
"867",1.91,3.5,4.2
"868",3.5,3.4,2.1
