"","B365H","B365D","B365A"
"2876",2.04,3.7,3.75
"2877",3.6,3.7,2.1
"2878",3.5,3.75,1.95
"2879",1.66,3.8,6
"2880",5.75,4.5,1.6
"2881",2.7,3.3,2.87
"2882",3.2,3.2,2.5
"2883",2.9,3.4,2.6
"2884",3,3.1,2.7
"2885",2.14,3.1,4.2
"2886",11,5,1.36
"2887",2.9,3.2,2.75
"2888",14,5.75,1.28
"2889",2.9,3.2,2.75
"2890",2.62,3,3.2
"2891",2.5,3.5,2.95
"2892",3.8,3.4,2.14
"2893",2.6,3.1,3.1
"2894",3.8,3.25,2.2
"2895",2.9,3.25,2.7
"2896",2.8,3.6,2.54
"2897",1.75,3.8,5.25
"2898",1.25,6.75,13
"2899",1.4,5.25,8.5
"2900",1.18,8,17
"2901",4,3.8,1.95
"2902",3,3.2,2.62
"2903",4.75,4.1,1.75
"2904",4.5,3.75,1.85
"2905",1.61,3.9,6.5
"2906",1.75,4.2,4.75
"2907",1.85,3.6,4.75
"2908",1.61,4,6.5
"2909",1.4,5,9
"2910",1.6,4,6.5
"2911",1.8,3.75,5
"2912",5.25,4.33,1.66
"2913",2.9,3.75,2.4
"2914",2.62,3.5,2.8
"2915",3,3.5,2.45
"2916",8.5,4.5,1.44
"2917",11,5.5,1.33
"2918",2.3,3.5,3.3
"2919",3.4,3.25,2.35
"2920",2.5,3,3.4
"2921",2.2,3.4,3.6
"2922",2.1,3.5,3.8
"2923",1.5,4.33,8
"2924",2.25,3.3,3.6
"2925",3.8,3.75,2
"2926",2.54,3.6,2.8
"2927",1.11,11,26
"2928",1.11,11,26
"2929",1.4,5,9
"2930",1.1,12,34
"2931",1.08,13,34
"2932",1.11,11,29
"2933",1.4,5.25,8.5
"2934",1.11,11,26
"2935",1.44,4.5,9
"2936",1.72,3.9,5.25
"2937",1.4,5.25,8
"2938",2.45,3.5,3
"2939",1.33,5.75,10
"2940",2.6,3.3,3
"2941",2.2,3.25,3.8
"2942",2.75,3.25,2.8
"2943",2.9,3.4,2.6
"2944",2.5,3.3,3.1
"2945",2.9,3.2,2.7
"2946",6,4.1,1.61
"2947",2.1,3.4,3.9
"2948",2.5,3.3,3.1
"2949",4.33,3.6,1.95
"2950",4.75,4.1,1.75
"2951",2.8,3.5,2.6
"2952",1.36,5.25,9.5
"2953",2.14,3.6,3.5
"2954",1.75,3.75,5.25
"2955",6.5,4.33,1.55
"2956",11,6,1.3
"2957",4.5,3.8,1.85
"2958",4.1,3.9,1.9
"2959",1.75,3.75,5.25
"2960",13,6.5,1.25
"2961",1.66,4,5.75
"2962",2.3,3.4,3.4
"2963",1.8,3.6,5.25
"2964",1.75,3.75,5.25
"2965",3.1,3.4,2.45
"2966",1.5,4.33,8
"2967",5,3.75,1.8
"2968",1.44,4.75,7
"2969",1.45,4.75,6.5
"2970",1.75,3.75,4.75
"2971",1.45,4.75,6.5
"2972",1.57,4.33,5.5
"2973",6,5.25,1.44
"2974",2.87,3.75,2.3
"2975",2.55,3.6,2.62
"2976",1.83,3.6,4.33
"2977",1.4,4.75,8
"2978",2.3,3.4,3.1
"2979",2.35,3.4,3
"2980",9,5,1.33
"2981",2.05,3.4,3.7
"2982",4.33,3.8,1.8
"2983",2.4,3.6,2.8
"2984",2.1,3.75,3.3
"2985",13,8.5,1.16
"2986",2.8,3.5,2.45
"2987",4,3.8,1.85
"2988",2.5,3.5,2.75
"2989",1.72,4.2,4.2
"2990",3.25,3.6,2.15
"2991",2.75,3.3,2.6
"2992",7,5.25,1.4
"2993",2.4,3.4,2.9
"2994",3.5,3.9,1.95
"2995",2.6,3.3,2.7
"2996",2.87,3.4,2.45
"2997",2.1,3.6,3.3
"2998",3.9,3.6,1.9
"2999",2.9,3.25,2.5
"3000",1.72,4.2,4.33
"3001",3.75,3.5,2
"3002",2.62,3.1,2.87
"3003",2.2,3.25,3.5
"3004",1.75,3.9,4.33
"3005",3.6,3.6,1.95
"3006",1.66,4,5
"3007",2.1,3.4,3.6
"3008",2.87,3.3,2.5
"3009",4.5,4,1.72
"3010",2.25,3.5,3.1
"3011",2.25,3.25,3.3
"3012",11,7,1.22
"3013",1.95,3.4,4
"3014",4.33,3.75,1.8
"3015",1.75,3.8,4.33
"3016",4.33,3.75,1.83
"3017",3.6,3.6,2
"3018",1.4,4.75,8
"3019",1.3,5.5,10
"3020",1.33,5,10
"3021",1.28,6,9
"3022",1.28,5.75,10
"3023",1.25,6,12
"3024",1.33,5.25,9
"3025",1.28,5.5,11
"3026",1.72,3.9,4.5
"3027",1.85,3.5,4.5
"3028",1.9,3.75,3.75
"3029",12,7,1.22
"3030",3.5,3.4,2.1
"3031",7.5,4.75,1.4
"3032",2.2,3.4,3.25
"3033",2.55,3.25,2.87
"3034",2.3,3.4,3.1
"3035",4.1,3.9,1.8
"3036",2.7,3.25,2.7
"3037",3.1,3.1,2.5
"3038",10,5.5,1.3
"3039",1.95,3.75,3.75
"3040",2.7,3.4,2.6
"3041",1.36,5.1,8
"3042",3.5,3.75,2
"3043",2.3,3.8,2.87
"3044",1.7,3.75,5
"3045",1.85,3.8,4
"3046",1.55,4.1,6
"3047",1.61,3.8,6
"3048",1.5,4,7.5
"3049",1.57,4,6
"3050",2,3.75,3.5
"3051",1.61,4,5.25
"3052",1.33,5.5,8
"3053",1.22,6.5,13
"3054",3.4,3.75,2.05
"3055",1.6,4,5.5
"3056",1.53,4.33,6
"3057",2.5,3.6,2.7
"3058",1.44,4.75,7
"3059",1.5,4.33,6.5
"3060",2.5,3.6,2.62
"3061",1.18,7,15
"3062",1.36,5,8.5
"3063",1.16,7.5,17
"3064",1.25,5.75,12
"3065",1.2,6.5,13
"3066",1.36,5.25,8
"3067",1.25,6,12
"3068",1.12,9,21
"3069",1.08,11,26
"3070",1.07,13,23
"3071",1.44,5,6.5
"3072",1.3,5.5,10
"3073",1.36,5.25,7.5
"3074",1.16,7.5,16
"3075",1.25,6.5,10
"3076",1.1,11,19
"3077",1.12,9.5,17
"3078",2.37,3.5,2.9
"3079",5.25,3.8,1.65
"3080",1.6,3.75,6.5
"3081",1.45,4.5,7
"3082",2.75,3.4,2.55
"3083",1.8,3.7,4.5
"3084",1.33,5.25,9
"3085",1.33,5.25,8.5
"3086",1.36,4.75,9
"3087",2.25,3.25,3.4
"3088",4.5,3.5,1.85
"3089",3,3.1,2.55
"3090",2.55,3.25,2.8
"3091",13,8,1.16
"3092",2.5,3.2,2.9
"3093",2.37,3.1,3.25
"3094",3.6,3.4,2.05
"3095",5,3.8,1.66
"3096",6,4.5,1.5
"3097",2.2,3.4,3.3
"3098",2.37,3.6,2.8
"3099",4.33,4,1.75
"3100",2.7,3.5,2.55
"3101",4,4.33,1.75
"3102",2.9,3.5,2.37
"3103",3.75,3.8,1.9
"3104",5,4,1.66
"3105",2.5,3.4,2.75
"3106",2.2,3.5,3.25
"3107",11,6.25,1.25
"3108",9,5.25,1.33
"3109",3.9,3.75,1.9
"3110",2.25,3.2,3.4
"3111",3.5,3.4,2.1
"3112",1.83,3.4,4.6
"3113",1.85,3.75,4.2
"3114",1.83,3.6,4.33
"3115",1.95,3.4,4
"3116",7,5,1.4
"3117",1.66,3.6,5.75
"3118",4,3.8,1.85
"3119",3.1,3.4,2.3
"3120",2.9,3.3,2.45
"3121",2.1,3.4,3.5
"3122",1.72,4,4.2
"3123",1.9,3.8,3.8
"3124",1.95,3.6,3.8
"3125",3.3,3.5,2.1
"3126",2.4,3.4,3
"3127",1.75,3.8,4.75
"3128",1.4,4.75,8
"3129",1.4,5,7.5
"3130",1.57,4,6
"3131",1.36,5.5,7.5
"3132",1.4,4.75,8
"3133",2.37,3.75,2.75
"3134",1.53,4.33,6
"3135",4.5,4.33,1.66
"3136",1.4,5,7.5
"3137",5.5,4.6,1.53
"3138",2.05,3.4,3.6
"3139",2.15,3.6,3.25
"3140",5,4.33,1.61
"3141",2.3,3.4,3.1
"3142",2.37,3.3,3.1
"3143",4.33,4,1.75
"3144",1.95,3.8,3.6
"3145",3,3.4,2.3
"3146",3.25,3.5,2.2
"3147",2.75,3.3,2.62
"3148",1.95,3.6,3.8
"3149",2.1,3.5,3.5
"3150",1.75,3.8,4.5
"3151",4.2,4.33,1.7
"3152",3.3,4,2
"3153",4,3.9,1.83
"3154",1.9,3.75,3.8
"3155",2.9,3.5,2.37
"3156",8.5,5.5,1.33
"3157",2.6,3.3,2.75
"3158",1.85,3.4,4.5
"3159",1.8,3.6,4.5
"3160",1.9,3.5,4.2
"3161",1.9,3.5,4.2
"3162",1.75,3.7,4.75
"3163",3.25,3.4,2.25
"3164",8.5,5,1.36
"3165",1.44,4.5,7.5
"3166",5.75,3.8,1.61
"3167",2.5,3.3,2.87
